NU_ANO_AVALIACAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_SERIE;ID_TIPO_REDE;PC_ALUNO_ALFABETIZADO;VL_MEDIA_LP;PC_ALUNO_NIVEL_0_LP;PC_ALUNO_NIVEL_1_LP;PC_ALUNO_NIVEL_2_LP;PC_ALUNO_NIVEL_3_LP;PC_ALUNO_NIVEL_4_LP;PC_ALUNO_NIVEL_5_LP;PC_ALUNO_NIVEL_6_LP;PC_ALUNO_NIVEL_7_LP;PC_ALUNO_NIVEL_8_LP
2025;11;RO;1101450;Parecis;2;5;82.45;775.70050;0.00000;3.92000;1.93000;7.78000;5.85000;25.03000;30.67000;17.06000;7.75000
2025;11;RO;1101468;Pimenteiras do Oeste;2;3;79.58;768.82380;3.42000;1.71000;1.64000;3.42000;13.73000;33.71000;18.65000;15.33000;8.40000
2025;11;RO;1101468;Pimenteiras do Oeste;2;5;79.58;768.82380;3.42000;1.71000;1.64000;3.42000;13.73000;33.71000;18.65000;15.33000;8.40000
2025;11;RO;1101476;Primavera de Rondônia;2;5;81.01;767.60110;0.00000;2.37000;7.12000;7.12000;4.75000;34.63000;25.26000;9.25000;9.49000
2025;11;RO;1101476;Primavera de Rondônia;2;3;81.01;767.60110;0.00000;2.37000;7.12000;7.12000;4.75000;34.63000;25.26000;9.25000;9.49000
2025;11;RO;1101484;São Felipe D'Oeste;2;3;84.30;766.98830;0.00000;0.00000;2.30000;8.75000;7.04000;45.22000;23.09000;10.47000;3.12000
2025;11;RO;1101484;São Felipe D'Oeste;2;5;84.30;766.98830;0.00000;0.00000;2.30000;8.75000;7.04000;45.22000;23.09000;10.47000;3.12000
2025;11;RO;1101492;São Francisco do Guaporé;2;5;86.03;773.34190;0.37000;1.16000;2.31000;4.96000;8.23000;32.31000;31.83000;13.69000;5.15000
2025;11;RO;1101492;São Francisco do Guaporé;2;3;86.03;773.34190;0.37000;1.16000;2.31000;4.96000;8.23000;32.31000;31.83000;13.69000;5.15000
2025;11;RO;1101500;Seringueiras;2;3;81.51;768.18050;0.49000;1.05000;2.17000;6.24000;13.74000;34.06000;26.41000;12.27000;3.58000
2025;11;RO;1101500;Seringueiras;2;5;81.51;768.18050;0.49000;1.05000;2.17000;6.24000;13.74000;34.06000;26.41000;12.27000;3.58000
